TimeStamp,Value
20220929125816,20.804214477539062
20220929125817,34.80044603347778
20220929125818,34.85769033432007
20220929125819,34.874045848846436
20220929125820,21.691501140594482
20220929125821,19.565284252166748
20220929125822,19.52439546585083
20220929125823,20.79603672027588
20220929125824,20.783770084381104
20220929125825,21.270346641540527
20220929125826,10.410284996032715
20220929125827,2.2039055824279785
20220929125828,20.812392234802246
20220929125829,34.75546836853027
20220929125830,1.9381284713745117
20220929125831,21.135413646697998
20220929125832,18.894708156585693
20220929125833,17.892932891845703
20220929125834,18.465375900268555
20220929125835,18.191421031951904
20220929125836,1.9217729568481445
20220929125837,17.921555042266846
20220929125838,17.872488498687744
20220929125839,17.937910556793213
20220929125840,17.995154857635498
20220929125841,21.32350206375122
20220929125842,0.8423089981079102
20220929125843,14.065742492675781
20220929125844,20.808303356170654
20220929125845,17.86431074142456
20220929125846,21.34394645690918
20220929125847,17.8438663482666
20220929125848,20.84510326385498
20220929125849,17.93382167816162
20220929125850,1.8440842628479004
20220929125851,20.82465887069702
20220929125852,17.921555042266846
20220929125853,17.925643920898438
20220929125854,2.2856831550598145
20220929125855,20.828747749328613
20220929125856,17.872488498687744
20220929125857,19.59390640258789
20220929125858,17.90928840637207
